codigo,nombre_pdf,precio_abc,precio_catalogo,fuente
518117004,Base Smooth Skin | 03 Bronceado 30,25100,35900,LACA Septiembre
518117504,Base Photo Finish | 01 Claro,25900,37000,LACA Septiembre
518117604,Base Photo Finish | 02 Medio,25900,37000,LACA Septiembre
518117704,Base Photo Finish | 03 Bronceado,25900,37000,LACA Septiembre
518117804,Vital Color | Dream Primer BB Cream,25900,31900,LACA Septiembre
518145104,Base antiage DD cream | 51 Claro,20700,29700,LACA Septiembre
518145204,Base antiage DD cream | 52 Medio,20700,29700,LACA Septiembre
518145304,Base antiage DD cream | 53 Bronceado,20700,29700,LACA Septiembre
518171704,Lacatint Multinfunción Sensorial | Albaricoque,23400,33500,LACA Septiembre
518195204,Polvo Volátil Silky Loose Powder HD | 52 Incoloro,26500,37900,LACA Septiembre
518195304,Polvo Volátil Silky Loose Powder HD | 53 Natural,26500,37900,LACA Septiembre
518230104,Corrector trío,18300,26200,LACA Septiembre
518286504,Volume Push Up Style Lash - Arqueador de Pestañas,23500,33600,LACA Septiembre
518286604,Fortificador Activo Style Lash - Gel cejas y pestañas,19000,27200,LACA Septiembre
518286704,Care & Long Style Lash - Máscara de pestañas WP,19400,27800,LACA Septiembre
518286804,Volume Push Up Style Lash - Máscara WP | 63 Negro,19100,27400,LACA Septiembre
518286904,Volume Push Up Style Lash - Máscara WP | 64 Marrón,19000,27200,LACA Septiembre
518287004,Volume Push Up New Style - Máscara WP | Royal Blue,19000,27200,LACA Septiembre
518287104,Extra Fijador de Cejas,13900,19900,LACA Septiembre
518287204,Extra Fijador de Cejas con color,13900,19900,LACA Septiembre
518287304,Fortificador Activo Style Lash color - Gel cejas y pestañas,19000,27200,LACA Septiembre
518287404,Booster Pre Tratamiento para cejas y Pestañas,13100,18800,LACA Septiembre
518320204,Neblina fijadora,20000,28600,LACA Septiembre
518320304,Diluyente y fijador HD,11700,16800,LACA Septiembre
518320404,Neblina fijadora mix relax,20900,29900,LACA Septiembre
518320804,Vital Color | Neblina fijadora,20000,28600,LACA Septiembre
518337004,Brillo Voluminizador Labial Coconut,16700,23900,LACA Septiembre
525090004,Crema antiage con coenzima Q,29200,41800,LACA Septiembre
527110004,Gel fortalecedor con biotina,29400,42000,LACA Septiembre
527180003,Loción con agentes sanitizantes de acción prolongada,12900,18500,LACA Septiembre
543030004,Hidrogel con uniesferas de vitamina C y E,24200,34600,LACA Septiembre
543040004,Crema con oxígeno,32200,46000,LACA Septiembre
543060004,Crema retinol con vitamina C,31700,45400,LACA Septiembre
543070004,Crema retinol plus,45200,64700,LACA Septiembre
544850004,Aire Libre | Repelente de Insectos,6600,8300,LACA Septiembre
545020004,Crema antiage alimentar nutrir,26800,38400,LACA Septiembre
545040004,Film crono hidratante,22400,32000,LACA Septiembre
545080004,Leche de limpieza con fitoflavonas de soja,16800,24000,LACA Septiembre
545090004,! Bruma equilibrante,16100,23000,LACA Septiembre
545170004,Monodosis D Dr. Enero (10 unidades),34500,49400,LACA Septiembre
545190004,Monodosis R Dr. Enero (10 unidades),40600,58000,LACA Septiembre
545240004,Loción astringente,17200,24600,LACA Septiembre
545270004,Crema color con ácido hialurónico,20800,29800,LACA Septiembre
545300004,! Complejo antiage con Omega Plus,27400,39200,LACA Septiembre
545340004,Biolifting XF,48000,68700,LACA Septiembre
545350004,Monodosis Hialurón Plus (10 unidades),39200,56000,LACA Septiembre
545360004,Monodosis Vitamina C Plus (10 unidades),35400,50600,LACA Septiembre
546040004,Restaurador epidérmico,,,LACA Septiembre
546050004,Fresh eyes roll on con cafeína,30200,43200,LACA Septiembre
546060004,Microfiller Antiage,41300,59000,LACA Septiembre
546090004,Óleo multivitamínico con rosa mosqueta,30700,43900,LACA Septiembre
546190004,Sérum Ionizable con vitamina C,26100,37300,LACA Septiembre
546200004,Concentrado Corporal Ionizable con Poppy,9200,13200,LACA Septiembre
546210004,Sérum Lifting Tensor,24500,35000,LACA Septiembre
546230004,Radiant Glow,29400,42000,LACA Septiembre
546240004,Radiant Filler,29000,41500,LACA Septiembre
546250004,Vital Booster Hylu-Serum,32000,45800,LACA Septiembre
546260004,AZ Booster,29600,42400,LACA Septiembre
546270004,Dr Enero - Serum Calmer,25100,35900,LACA Septiembre
546280004,Serum Novo Retinol,37800,54000,LACA Septiembre
702000504,Neblina Hidratante con malva y boswelia 250 ml x 4 unidades,123760,,LACA Septiembre
702000505,Máscara Shock Antiage 250 ml x 4 unidades,88480,,LACA Septiembre
702000506,Máscara Descongestiva con silanotriol 250 g x 4 unidades,119000,,LACA Septiembre
702000507,Máscara Destello Vital 280 g x 4 unidades,89600,,LACA Septiembre
702000508,Máscara Suavizante con elastina 250 g x 4 unidades,99400,,LACA Septiembre
702000509,Scrub Corporal Activo 250 g x 4 unidades,96320,,LACA Septiembre
702000510,Gel Modelador Intensivo 250 ml x 4 unidades,77000,,LACA Septiembre
702000511,Solución Corporal con DMAE 235 ml x 4 unidades,47320,,LACA Septiembre
702000512,Crema Ultra-Relajante 250 g x 4 unidades,83440,,LACA Septiembre
702000513,Crema Hidronutritiva con P.C.A 250 g x 4 unidades,175840,,LACA Septiembre
702000514,Emulsión Aqua Pore 235 ml x 4 unidades,126560,,LACA Septiembre
